cv_texto,talleres,competencias
Compras: negocié contratos marco y evalué desempeño de proveedores.,"procurement, slas, kpis",Compras
"Administración: gestioné agendas, minutas y canalización de requerimientos internos.","ofimática, organización",Administración
"Soporte TI: resolví incidencias N1/N2, documenté soluciones y medí SLA.","mesa de ayuda, itil, documentacion",Soporte Técnico
RRHH: ejecuté procesos de selección por competencias y onboarding 30-60-90.,"entrevistas, onboarding",RRHH
Finanzas: elaboré tablero de presupuesto vs real y análisis de variaciones.,"power bi, control de gestión","Finanzas, Ofimática"
Producción: coordiné turnos y analicé OEE con foco en cuellos de botella.,"oee, lean, kaizen",Producción
Calidad: lideré auditorías de proveedor y homologación de materiales.,"auditorias, homologacion","Calidad, Compras"
Logística: planifiqué rutas urbanas con reducción de tiempos de entrega.,"ruteo, wms",Logística
Atención al cliente: elevé NPS mediante protocolos y seguimiento post venta.,"nps, crm, comunicacion",Atención al Cliente
Legal y ventas: soporté negociaciones asegurando cumplimiento normativo en acuerdos.,"contratos, negociacion, compliance","Legal, Ventas"
Educación y marketing: impartí talleres de herramientas digitales para pymes.,"didáctica, marketing digital","Educación, Marketing"
Ingeniería industrial: implementé VSM y mejoras kaizen en flujo de empaque.,"vsm, kaizen, 5s",Producción
Electrónica: diagnostiqué fallas en tableros y actualicé documentación técnica.,"instrumentacion, planos, mantenimiento",Mantenimiento
Minas: coordiné seguridad en voladuras y trazabilidad de equipos de medición.,"seguridad, metrologia","Seguridad e Higiene, Calidad"
Data/BI: documenté modelos semánticos y publiqué reportes con gobernanza básica.,"power bi, governance, linaje","Analisis de Datos, Ofimática"
Operaciones: coordiné planes de emergencia y simulacros inter-área.,"emergencias, hse, comunicacion","Seguridad e Higiene, Administración"
"Soft skills: lideré iniciativas de mejora, gestión del cambio y comunicación interna.","liderazgo, trabajo en equipo, adaptabilidad","RRHH, Administración"
Software engineer: desarrollé APIs REST en Python y Node con pruebas unitarias y cobertura >85%.,"python, node, rest, testing",Ingeniería de Software
"Frontend: construí SPA con React y manejo de estado, optimizando rendimiento con memoización.","react, redux, performance","Ingeniería de Software, Diseño"
"DevOps: implementé IaC con Terraform y CI/CD en GitHub Actions, blue/green deploy.","terraform, ci/cd, docker, kubernetes",DevOps/SRE
"SRE: definí SLO/SLI y alertas con Prometheus y Grafana, postmortems sin culpa.","observabilidad, sre, prometheus",DevOps/SRE
"Ciberseguridad: apliqué hardening CIS, gestión de parches y respuestas a incidentes.","cis, siem, incident response",Ciberseguridad
Pentesting: ejecuté pruebas OWASP Top 10 y recomendaciones de remediación.,"owasp, burp, seguridad","Ciberseguridad, Ingeniería de Software"
Ingeniería de datos: orquesté pipelines en Airflow y modelado en BigQuery.,"airflow, etl, bigquery","Ingeniería de Datos, Analisis de Datos"
DataOps: versionado de datos y pruebas de calidad con Great Expectations.,"dataops, dq, pytest",Ingeniería de Datos
"Product management: definí roadmap, prioricé con RICE y medí impacto con métricas North Star.","product, discovery, analytics",Producto
"eCommerce: optimicé conversión en checkout y catálogo, integrando medios de pago.","shopify, ga4, ab testing","eCommerce, Marketing"
Arquitectura/Construcción: supervisé obra civil y controlé seguridad en faenas.,"obra, autocad, hse","Arquitectura y Construcción, Seguridad e Higiene"
Recursos hídricos: modelé caudales y gestioné permisos de uso de agua.,"hidrologia, gis, normativa",Recursos Hídricos
Agroindustria: gestioné trazabilidad e inocuidad con BPM/HACCP y control de proveedores.,"bpm, haccp, supply","Agroindustria, Calidad"
"Biotecnología: ejecuté PCR y cultivos celulares, documentando resultados GxP.","pcr, cultivo, gxp","Biotecnología, Salud"
Energías renovables: dimensioné sistemas FV y analicé retornos LCOE.,"fotovoltaica, pvsyst, lcoe","Energías Renovables, Finanzas"
Petróleo y gas: planifiqué workovers y coordiné logística de materiales críticos.,"pozos, logistica, scada","Petróleo y Gas, Logística"
Minería: controlé voladura y gestioné seguridad y ambiente en mina a cielo abierto.,"voladura, seguridad, ambiente","Minería, Seguridad e Higiene"
Telecomunicaciones: gestioné nodos LTE/5G y KPIs de red con SON básico.,"lte, 5g, kpis","Telecomunicaciones, Analisis de Datos"
Banca: analicé riesgo crediticio y construí scorecards regulatorios.,"riesgo, modelos, regulacion","Banca y Servicios Financieros, Finanzas"
Seguros: diseñé productos masivos y tableros de siniestralidad.,"actuarial, pricing, siniestros","Seguros, Finanzas"
Gobierno: lideré proyectos de modernización con enfoque en interoperabilidad y datos abiertos.,"govtech, interoperabilidad, open data","Gobierno y Sector Público, Gestion de Proyectos"
Turismo/Hotelería: mejoré RevPAR con estrategias de revenue management y CRM.,"revenue, crm, canales","Turismo y Hotelería, Marketing"
Salud mental: conduje talleres de psicoeducación y protocolos de derivación.,"psicoeducacion, protocolos","Salud Mental, Educación"
Veterinaria: gestioné clínica ambulatoria y campañas de vacunación animal.,"atención, bioseguridad","Veterinaria, Salud"
Traducción/Interpretación: realicé interpretaciones simultáneas y traducciones técnicas.,"interpretación, traducción","Traducción e Interpretación, Administración"
Investigación/Academia: publiqué artículo indexado y dicté cátedra de laboratorio.,"investigación, docencia","Investigación y Academia, Educación"
Retail operaciones: coordiné inventarios omnicanal y picking store-to-customer.,"omnicanal, wms, ruteo","Retail Operaciones, Logística"
Atención técnica posventa: resolví incidencias complejas y documenté soluciones nivel 3.,"troubleshooting, kcs","Soporte Técnico, Atención al Cliente"
Ética de datos/IA: definí lineamientos de uso responsable y evaluaciones de sesgo.,"responsible ai, governance","Analisis de Datos, Legal"
Cultura y cambio: facilité adopción de herramientas y acompañé champions internos.,"change management, adopción","RRHH, Administración"
Comunity management: gestioné comunidades técnicas y contenido especializado.,"comunidad, contenido","Marketing, Educación"
